ARTISTA;ID;nacimiento;instrumento;Lugar;lat;lon;D1;D2;singles;degree1;degree2;CVPl1;CVPl2;CVPBI
Louis Armstrong;1;1900;trompeta;Louisiana;29.977600;-90.081354;257;140;601;14;8;0.208132;0.000643;0.306822
John Coltrane;2;1926;saxo;Carolina del Norte;34.890308;-79.709841;128;74;61;14;32;0.127194;0.900217;0.349227
Charles Mingus;3;1922;contrabajo;Arizona;31.336614;-110.942256;78;47;25;10;28;0.136596;0.964608;0.337863
Charlie Parker;4;1920;saxo;Kansas;39.115865;-94.635953;170;59;105;18;25;0.188845;0.800695;0.370992
Miles Davis;5;1926;trompeta;California;38.902776;-90.164849;146;115;170;19;31;0.153326;0.871672;0.313106
Count Basie;6;1904;piano;Nueva Jersey;40.348712;-74.070952;291;96;163;22;9;0.281710;0.000872;0.432763
Dizzy Guillespie;7;1917;trompeta;Carolina del Sur;34.692380;-79.899012;248;87;145;32;15;0.356342;0.376652;0.470798
Duke Ellington;8;1899;piano;Washington DC;38.900511;-77.032081;431;145;127;25;7;0.298445;0.000563;0.379134
Ella Fitzgerald;9;1917;singer;Virginia;37.086069;-76.465533;251;149;590;23;15;0.313765;0.376652;0.434902
Billie Holiday;10;1915;singer;Pensilvania;39.956541;-75.160472;124;120;152;12;13;0.138286;0.241592;0.329981
Thelonious Monk;11;1920;piano;Carolina del Norte;35.946129;-77.802412;94;61;44;10;24;0.104393;0.764596;0.305996
Abbey Lincoln;12;1930;singer;Illinois;41.881693;-87.625405;28;8;6;3;17;0.033822;0.263212;0.134663
Alice Babs;13;1924;singer;Kalmar, Suecia;;;39;18;183;1;28;0.035207;0.977196;0.304719
Art Blakey;14;1919;bateria;Pensylvania;40.438875;-80.000154;70;27;31;14;19;0.135806;0.535606;0.306970
Arthur Prysock;15;1924;singer;Carolina del Sur;34.946618;-81.933107;35;2;87;1;28;0.027843;0.977196;0.298056
Artie Shaw;16;1910;clarinete;Nueva York;40.758804;-73.984741;40;37;25;3;12;0.019123;0.025645;0.134019
Ben Webster;17;1909;saxo;Missouri;39.094773;-94.583167;134;35;29;13;9;0.209926;0.010411;0.279045
Benny Goodman;18;1909;clarinete;Illinois;41.881693;-87.625405;223;64;106;11;8;0.092611;0.010290;0.137990
Bill Evans;19;1929;piano;New Jersey;40.758804;-73.984741;117;41;16;11;20;0.071621;0.413341;0.161494
Bing Crosby;20;1903;singer;Washington;47.255041;-122.471976;360;126;1181;7;10;0.112533;0.000886;0.256514
Blue Mitchell;21;1930;trompeta;Florida;25.773633;-80.189903;40;11;18;7;16;0.045919;0.258306;0.138295
Bud Powell;22;1924;piano;New York city;40.758804;-73.984741;73;24;33;17;28;0.193356;0.977196;0.352628
George Buster Cooper;23;1929;trombón;Florida;27.771216;-82.639172;2;1;0;3;20;0.050249;0.413341;0.203845
Cannonball Adderley;24;1928;saxo;Florida;25.783633;-80.185903;65;46;61;9;27;0.079829;0.723771;0.232014
