ccaa_iso;fecha;num_casos;casos_ac;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida
AN;2020-01-31;0;0;0;0;0;0
AN;2020-02-01;2;2;2;0;0;0
AN;2020-02-02;2;4;1;1;0;0
AN;2020-02-03;1;5;1;0;0;0
AN;2020-02-04;1;6;0;1;0;0
AN;2020-02-05;1;7;0;1;0;0
AN;2020-02-06;2;9;1;1;0;0
AN;2020-02-07;2;11;2;0;0;0
AN;2020-02-08;0;11;0;0;0;0
AN;2020-02-09;1;12;0;1;0;0
AN;2020-02-10;1;13;1;0;0;0
AN;2020-02-11;1;14;0;1;0;0
AN;2020-02-12;1;15;1;0;0;0
AN;2020-02-13;2;17;1;1;0;0
AN;2020-02-14;1;18;1;0;0;0
AN;2020-02-15;4;22;1;3;0;0
AN;2020-02-16;0;22;0;0;0;0
AN;2020-02-17;2;24;0;2;0;0
AN;2020-02-18;3;27;3;0;0;0
AN;2020-02-19;1;28;0;1;0;0
AN;2020-02-20;8;36;3;5;0;0
AN;2020-02-21;5;41;4;1;0;0
AN;2020-02-22;2;43;2;0;0;0
AN;2020-02-23;2;45;2;0;0;0
AN;2020-02-24;5;50;5;0;0;0
AN;2020-02-25;9;59;9;0;0;0
AN;2020-02-26;9;68;9;0;0;0
AN;2020-02-27;11;79;7;4;0;0
AN;2020-02-28;8;87;7;1;0;0
AN;2020-02-29;9;96;8;1;0;0
AN;2020-03-01;34;130;25;9;0;0
AN;2020-03-02;33;163;31;2;0;0
AN;2020-03-03;42;205;36;6;0;0
AN;2020-03-04;34;239;31;3;0;0
AN;2020-03-05;61;300;55;6;0;0
AN;2020-03-06;73;373;66;7;0;0
AN;2020-03-07;77;450;72;5;0;0
AN;2020-03-08;87;537;78;9;0;0
AN;2020-03-09;169;706;158;11;0;0
AN;2020-03-10;221;927;204;17;0;0
AN;2020-03-11;263;1190;246;17;0;0
AN;2020-03-12;318;1508;301;17;0;0
AN;2020-03-13;487;1995;447;40;0;0
AN;2020-03-14;420;2415;392;28;0;0
AN;2020-03-15;450;2865;409;41;0;0
AN;2020-03-16;572;3437;535;37;0;0
AN;2020-03-17;574;4011;538;36;0;0
AN;2020-03-18;530;4541;493;37;0;0
AN;2020-03-19;555;5096;521;34;0;0
AN;2020-03-20;794;5890;747;47;0;0
AN;2020-03-21;543;6433;517;26;0;0
AN;2020-03-22;522;6955;488;34;0;0
AN;2020-03-23;562;7517;535;27;0;0
AN;2020-03-24;491;8008;462;29;0;0
AN;2020-03-25;521;8529;487;34;0;0
AN;2020-03-26;471;9000;434;36;1;0
AN;2020-03-27;422;9422;391;31;0;0
AN;2020-03-28;324;9746;296;28;0;0
AN;2020-03-29;340;10086;319;21;0;0
AN;2020-03-30;341;10427;302;39;0;0
AN;2020-03-31;253;10680;237;16;0;0
AN;2020-04-01;354;11034;322;32;0;0
AN;2020-04-02;262;11296;215;47;0;0
AN;2020-04-03;202;11498;172;30;0;0
AN;2020-04-04;317;11815;166;151;0;0
AN;2020-04-05;276;12091;159;117;0;0
AN;2020-04-06;186;12277;137;49;0;0
AN;2020-04-07;266;12543;163;103;0;0
AN;2020-04-08;250;12793;131;119;0;0
AN;2020-04-09;137;12930;85;52;0;0
AN;2020-04-10;218;13148;98;120;0;0
AN;2020-04-11;162;13310;94;68;0;0
AN;2020-04-12;128;13438;80;48;0;0
AN;2020-04-13;110;13548;69;41;0;0
AN;2020-04-14;209;13757;57;152;0;0
AN;2020-04-15;216;13973;90;126;0;0
AN;2020-04-16;175;14148;50;125;0;0
AN;2020-04-17;141;14289;63;78;0;0
AN;2020-04-18;135;14424;41;94;0;0
AN;2020-04-19;74;14498;28;46;0;0
AN;2020-04-20;77;14575;37;40;0;0
AN;2020-04-21;154;14729;38;116;0;0
AN;2020-04-22;134;14863;27;107;0;0
AN;2020-04-23;168;15031;35;133;0;0
AN;2020-04-24;169;15200;45;124;0;0
AN;2020-04-25;57;15257;24;33;0;0
AN;2020-04-26;36;15293;15;21;0;0
AN;2020-04-27;45;15338;15;30;0;0
AN;2020-04-28;130;15468;18;112;0;0
AN;2020-04-29;162;15630;32;130;0;0
AN;2020-04-30;119;15749;21;97;1;0
AN;2020-05-01;100;15849;16;84;0;0
AN;2020-05-02;95;15944;15;80;0;0
AN;2020-05-03;27;15971;8;19;0;0
AN;2020-05-04;49;16020;18;31;0;0
AN;2020-05-05;83;16103;22;61;0;0
AN;2020-05-06;39;16142;16;23;0;0
AN;2020-05-07;34;16176;12;21;1;0
AN;2020-05-08;20;16196;11;9;0;0
AN;2020-05-09;22;16218;11;10;0;1
AN;2020-05-10;7;16225;7;0;0;0
AN;2020-05-11;13;16238;9;4;0;0
AN;2020-05-12;16;16254;14;2;0;0
AN;2020-05-13;14;16268;12;2;0;0
AN;2020-05-14;19;16287;15;4;0;0
AN;2020-05-15;11;16298;8;3;0;0
AN;2020-05-16;12;16310;6;5;1;0
AN;2020-05-17;7;16317;6;1;0;0
AN;2020-05-18;4;16321;4;0;0;0
AN;2020-05-19;7;16328;7;0;0;0
AN;2020-05-20;7;16335;7;0;0;0
AN;2020-05-21;11;16346;11;0;0;0
AN;2020-05-22;6;16352;5;1;0;0
AN;2020-05-23;8;16360;8;0;0;0
AN;2020-05-24;10;16370;10;0;0;0
AN;2020-05-25;10;16380;10;0;0;0
AN;2020-05-26;15;16395;15;0;0;0
AN;2020-05-27;11;16406;11;0;0;0
AN;2020-05-28;12;16418;12;0;0;0
