ccaa_iso;fecha;num_casos;casos_ac;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida
AN;2020-01-31;0;0;0;0;0;0
AN;2020-02-01;2;2;2;0;0;0
AN;2020-02-02;2;4;1;1;0;0
AN;2020-02-03;1;5;1;0;0;0
AN;2020-02-04;1;6;0;1;0;0
AN;2020-02-05;1;7;0;1;0;0
AN;2020-02-06;2;9;1;1;0;0
AN;2020-02-07;2;11;2;0;0;0
AN;2020-02-08;0;11;0;0;0;0
AN;2020-02-09;1;12;0;1;0;0
AN;2020-02-10;1;13;1;0;0;0
AN;2020-02-11;1;14;0;1;0;0
AN;2020-02-12;1;15;1;0;0;0
AN;2020-02-13;2;17;1;1;0;0
AN;2020-02-14;1;18;1;0;0;0
AN;2020-02-15;4;22;1;3;0;0
AN;2020-02-16;0;22;0;0;0;0
AN;2020-02-17;2;24;0;2;0;0
AN;2020-02-18;3;27;3;0;0;0
AN;2020-02-19;1;28;0;1;0;0
AN;2020-02-20;8;36;3;5;0;0
AN;2020-02-21;5;41;4;1;0;0
AN;2020-02-22;2;43;2;0;0;0
AN;2020-02-23;2;45;2;0;0;0
AN;2020-02-24;5;50;5;0;0;0
AN;2020-02-25;9;59;9;0;0;0
AN;2020-02-26;9;68;9;0;0;0
AN;2020-02-27;11;79;7;4;0;0
AN;2020-02-28;8;87;7;1;0;0
AN;2020-02-29;9;96;8;1;0;0
AN;2020-03-01;34;130;25;9;0;0
AN;2020-03-02;33;163;31;2;0;0
AN;2020-03-03;42;205;36;6;0;0
AN;2020-03-04;34;239;31;3;0;0
AN;2020-03-05;61;300;55;6;0;0
AN;2020-03-06;73;373;66;7;0;0
AN;2020-03-07;77;450;72;5;0;0
AN;2020-03-08;87;537;78;9;0;0
AN;2020-03-09;169;706;158;11;0;0
AN;2020-03-10;221;927;204;17;0;0
AN;2020-03-11;263;1190;246;17;0;0
AN;2020-03-12;318;1508;301;17;0;0
AN;2020-03-13;487;1995;447;40;0;0
AN;2020-03-14;420;2415;392;28;0;0
AN;2020-03-15;450;2865;409;41;0;0
AN;2020-03-16;573;3438;536;37;0;0
AN;2020-03-17;574;4012;538;36;0;0
AN;2020-03-18;530;4542;493;37;0;0
AN;2020-03-19;556;5098;522;34;0;0
AN;2020-03-20;795;5893;748;47;0;0
AN;2020-03-21;544;6437;517;26;0;1
AN;2020-03-22;523;6960;489;34;0;0
AN;2020-03-23;562;7522;535;27;0;0
AN;2020-03-24;492;8014;463;29;0;0
AN;2020-03-25;522;8536;487;34;0;1
AN;2020-03-26;472;9008;435;36;1;0
AN;2020-03-27;423;9431;392;31;0;0
AN;2020-03-28;324;9755;296;28;0;0
AN;2020-03-29;340;10095;319;21;0;0
AN;2020-03-30;341;10436;302;39;0;0
AN;2020-03-31;254;10690;238;16;0;0
AN;2020-04-01;356;11046;323;32;0;1
AN;2020-04-02;262;11308;215;47;0;0
AN;2020-04-03;202;11510;172;30;0;0
AN;2020-04-04;317;11827;166;151;0;0
AN;2020-04-05;276;12103;159;117;0;0
AN;2020-04-06;187;12290;137;49;0;1
AN;2020-04-07;266;12556;163;103;0;0
AN;2020-04-08;251;12807;132;119;0;0
AN;2020-04-09;137;12944;85;52;0;0
AN;2020-04-10;218;13162;98;120;0;0
AN;2020-04-11;162;13324;94;68;0;0
AN;2020-04-12;129;13453;81;48;0;0
AN;2020-04-13;111;13564;70;40;1;0
AN;2020-04-14;209;13773;57;152;0;0
AN;2020-04-15;216;13989;90;126;0;0
AN;2020-04-16;175;14164;50;125;0;0
AN;2020-04-17;141;14305;63;78;0;0
AN;2020-04-18;135;14440;41;94;0;0
AN;2020-04-19;74;14514;28;46;0;0
AN;2020-04-20;77;14591;37;40;0;0
AN;2020-04-21;154;14745;38;116;0;0
AN;2020-04-22;134;14879;27;107;0;0
AN;2020-04-23;168;15047;35;133;0;0
AN;2020-04-24;169;15216;45;124;0;0
AN;2020-04-25;57;15273;24;33;0;0
AN;2020-04-26;36;15309;15;21;0;0
AN;2020-04-27;46;15355;16;30;0;0
AN;2020-04-28;130;15485;18;112;0;0
AN;2020-04-29;162;15647;32;130;0;0
AN;2020-04-30;119;15766;21;97;1;0
AN;2020-05-01;100;15866;16;84;0;0
AN;2020-05-02;95;15961;15;80;0;0
AN;2020-05-03;27;15988;8;19;0;0
AN;2020-05-04;49;16037;18;31;0;0
AN;2020-05-05;73;16110;12;61;0;0
AN;2020-05-06;26;16136;3;23;0;0
AN;2020-05-07;25;16161;3;21;1;0
AN;2020-05-08;17;16178;8;9;0;0
AN;2020-05-09;14;16192;3;10;0;1
AN;2020-05-10;5;16197;5;0;0;0
AN;2020-05-11;21;16218;17;4;0;0
AN;2020-05-12;21;16239;19;2;0;0
AN;2020-05-13;15;16254;13;2;0;0
AN;2020-05-14;14;16268;10;4;0;0
AN;2020-05-15;14;16282;11;3;0;0
AN;2020-05-16;9;16291;3;5;1;0
AN;2020-05-17;6;16297;5;1;0;0
AN;2020-05-18;11;16308;11;0;0;0
AN;2020-05-19;11;16319;11;0;0;0
AN;2020-05-20;12;16331;12;0;0;0
AN;2020-05-21;9;16340;9;0;0;0
AN;2020-05-22;6;16346;5;1;0;0
AN;2020-05-23;7;16353;7;0;0;0
AN;2020-05-24;3;16356;3;0;0;0
AN;2020-05-25;8;16364;8;0;0;0
AN;2020-05-26;8;16372;8;0;0;0
AN;2020-05-27;11;16383;11;0;0;0
AN;2020-05-28;7;16390;7;0;0;0
