"","longitude","latitude","username","total_oc"
"1",12.4958,41.9031,"Trendinalia Italia",11086
"2",12.49528809,41.94104513,"Stigmabase | BR",1056
"3",12.49528809,41.94104513,"Stigmabase | FR",1054
"4",12.4823,41.8955,"Trendsmap Roma",569
"5",12.4958,41.9031,"Tendenze Roma",500
"6",12.41455078,41.97378534,"Stigmabase | FR",369
"7",12.41455078,41.97378534,"Stigmabase | UN",353
"8",12.41455078,41.97378534,"Stigmabase | NORDIC",325
"9",12.45,41.9,"Vatican Weather",282
"10",12.5,41.9,"Rome Weather",275
"11",12.5,41.9,"Free Tour Rome",196
"12",12.56738,41.87194,"TMJ-ITA Jobs",139
"13",12.5,41.9,"eleonora marsella",109
"14",12.46854,41.86468,"EXO' Outlet",102
"15",12.56445,41.85307,"Accademia Gilmont It",87
"16",12.5,41.9,"Cristina Maione",85
"17",12.5,41.9,"Angelo",75
"18",12.41426,41.87654,"Blondelli Gioielli",71
"19",12.5,41.9,"TabernaRomana",62
"20",12.4963655,41.9027835,"TMJ-ITA Jobs",55
"21",12.49423342,41.90450467,"Enrico Pallocca Blog",55
"22",12.4691,41.837,"Claudio ]3lizzard",54
"23",12.48333,41.9,"PhotoSchedule",52
"24",12.45306,41.90222,"PhotoSchedule",52
"25",12.5,41.9,"Simona Berardi",51
"26",12.46499,41.83653,"Fabian Hirose",51
"27",12.55067,41.86286,"Cru.dop di Nestor",47
"28",12.43645755,41.89152476,"MISSYROMA",45
"29",12.48556,41.90348,"Samuel 🔵 #painter",43
"30",12.5,41.9,"Giovanni Spadaro",42
"31",12.5,41.9,"Love In Rome",41
"32",12.5,41.9,"Alessio Maccaroni",41
"33",12.46088955,41.88188721,"Pierina bassanelli",40
"34",12.4782,41.8449,"andrea tupini",39
"35",12.5,41.9,"Lericettedifrancesca",37
"36",12.5,41.9,"Eat and Walk Italy",37
"37",12.53785499,41.95717318,"Paola D'antonio",34
"38",12.5,41.9,"Max i😎",32
"39",12.40325332,41.88845297,"Beatriz Soto",32
"40",12.5,41.9,"nobuaki tomita",32
"41",12.47305556,41.89888889,"Eat and Walk Italy",31
"42",12.5,41.9,"fenci",29
"43",12.5,41.9,"Daniele Butera",28
"44",12.5,41.9,"Alessandro Tanzini",27
"45",12.47023,41.8979799,"Sartoria Scavelli",27
"46",12.48601109,41.90068661,"Daniele Gabrieli",27
"47",12.461975,41.899211,"世界は夜の七時",26
"48",12.5,41.9,"Paola",25
"49",12.5,41.9,"Nino Menghi",25
"50",12.5,41.9,"Kevin T",25
"51",12.56738,41.87194,"QuintilesIMS Careers",24
"52",12.46927626,41.83510627," MrTozzo ",24
"53",12.4963655,41.9027835,"P&G Jobs",23
"54",12.5,41.9,"giorgio biferi",23
"55",12.5151,41.89922,"SAID dal 1923",23
"56",12.54168,41.8772,"Nemo420🌱",23
"57",12.4762802,41.8709106,"Rush Bellucci",23
"58",12.5,41.9,"Botilius Syrus",22
"59",12.45790476,41.90264382,"Diógenes Dantas",22
"60",12.46981,41.89966,"Coromandel",21
"61",12.4823,41.8955,"Sol Tempore",21
"62",12.5,41.9,"Federica Sbordone",21
"63",12.454032,41.902273,"nobuaki tomita",21
"64",12.51097,41.89746,"San Lo'",20
"65",12.44974325,41.8716697,"Jörg",20
"66",12.45444444,41.90638889,"vincenzo circosta",20
"67",12.48852071,41.90699184,"Shinto",19
"68",12.5,41.9,"Matteo Riccitelli",19
"69",12.4566199,41.88173,"Hostaria Pamphili",19
"70",12.45685,41.93312,"Andidero Management",19
"71",12.5,41.9,"Zoey Arielle",18
"72",12.5,41.9,"Sandro Albano GIG",18
"73",12.42586,41.8816,"SNOTSHOP",18
"74",12.44684343,41.91884874,"Rome Cavalieri",18
"75",12.5,41.9,"June Astronaut",18
"76",12.46623368,41.90215729,"Лариса Хомченко",18
"77",12.56528,41.8309799,"HEART 4 DANCE STUDIO",17
"78",12.45145258,41.82395089,"NailOneAcademy",17
"79",12.46221,41.91639,"Sebastiano Cardillo",17
"80",12.5,41.9,"Beppe Convertini",17
"81",12.48853454,41.88296205,"Greg Miller, Ph.D.",17
"82",12.5,41.9,"Paola Rollo❤",16
"83",12.50814516,41.88098671,"Alberto D'Onofrio",16
"84",12.4822,41.88301,"Agostino",16
"85",12.5,41.9,"MiKe Priore",16
"86",12.5,41.9,"Claudio Tatananni",16
"87",12.562,41.847,"Alessio Proietti",16
"88",12.4666899,41.86508289,"EXO' Outlet",16
"89",12.52831,41.87315,"Riccardo Diffidenti",16
"90",12.52772,41.94059,"www.inciucio.it",16
"91",12.45145687,41.93832039,"Carlo Zucchetti",16
"92",12.4837583,41.90483482,"paola valenti",16
"93",12.46175766,41.83401409,"Rush Bellucci",16
"94",12.5049981,41.9122564,"cherrytattoo2roma",15
"95",12.5,41.9,"Acquafortis",15
"96",12.5,41.9,"Claudio Scanzani Ph",15
"97",12.5,41.9,"Odair Faléco",15
"98",12.5,41.9,"Marzia",15
"99",12.5,41.9,"Ada Egidio",15
"100",12.5,41.9,"Pierina bassanelli",15
"101",12.5,41.9,"Alessia Aleo",15
"102",12.5,41.9,"Raimondo-Mario",14
"103",12.48423,41.82031,"IL PUNTO MODA",14
"104",12.45790476,41.90264382,"ladfoodie",14
"105",12.5591526,41.8572717,"trilly feste",14
"106",12.454032,41.902273,"MISSYROMA",14
"107",12.5,41.9,"Elizabeth",14
"108",12.52665,41.88838,"FAMO COSE",14
"109",12.5,41.9,"Luca Alfieri photos",14
"110",12.5,41.9,"Pietro Cau",14
"111",12.5,41.9,"Thomas Grazioso",14
"112",12.5,41.9,"CEGX",14
"113",12.49244213,41.89023406,"Tony's Pizzeria",14
"114",12.472733,41.89749,"Fernando Rolli",13
"115",12.5,41.9,"Avelino Filipe",13
"116",12.5,41.9,"Ale Ortega",13
"117",12.42164,41.89725,"Thiago Lopes",13
"118",12.46061,41.90903,"MilaComunicazione",13
"119",12.4472186,41.87431097,"Jörg",13
"120",12.5,41.9,"MassimoDeSantisPage",13
"121",12.61930619,41.93822938,"Maikol Corina",13
"122",12.48256254,41.89318644,"Samuel 🔵 #painter",13
"123",12.4852,41.8629,"Claudio ]3lizzard",13
"124",12.47772217,41.89103273,"Roma Streaming",12
"125",12.47222,41.89278,"RvB_Arts",12
"126",12.45064,41.870576,"Jörg",12
"127",12.4895296,41.921154,"glam Boutique Outlet",12
"128",12.456774,41.90244958,"Free Tour Rome",12
"129",12.48023333,41.87209897,"Domenico Lombardo",12
"130",12.4467727,41.90579312,"AnnaCreazioni",12
"131",12.5034344,41.9057879,"Samuel 🔵 #painter",12
"132",12.5,41.9,"つねを (Tsuneo)",12
"133",12.4383311,41.97122183,"TdB Record",12
"134",12.4460053,41.9171124,"Lam",12
"135",12.4691,41.837,"Luca Pellè",12
"136",12.46646,41.90753,"Miki Chic",12
"137",12.5,41.9,"Martina Corradetti",12
"138",12.5,41.9,"Dario Accolla",12
"139",12.49755,41.89488,"Zizzi Pizza",12
"140",12.5,41.9,"Francesca Romana",11
"141",12.5265799,41.94523,"Enoteca Di Biagio",11
"142",12.46291637,41.86984046,"Komicartz",11
"143",12.52588403,41.86863837,"Paolo Cranfan",11
"144",12.47137773,41.83408117,"CrossBoot78.dll",11
"145",12.48,41.89,"Dino Portelli",11
"146",12.48373303,41.81774234,"checcoscapicollo",11
"147",12.5,41.9,"Alexandra Lewis",11
"148",12.52070189,41.91161917,"il Grigio e il Blu",11
"149",12.53107,41.86615,"Umberto Marcucci",11
"150",12.45682,41.8512,"Vaccari motori",11
"151",12.5,41.9,"Albert Hdz",11
"152",12.56737232,41.88119234,"Ottica Belfiore",11
"153",12.55457,41.83236,"Giampaolo Trombetti",11
"154",12.46654,41.87847,"Il Necchi",11
"155",12.52539898,41.88919937,"silvia dem",11
"156",12.49158426,41.89082967,"Mina Cappussi",11
"157",12.49177787,41.89119082,"Mina Cappussi",11
"158",12.5,41.9,"I fatti a mano",11
"159",12.5,41.9,"Veckungs Romans",11
"160",12.49244213,41.89023406,"Karo´s Photodiary",11
"161",12.47154366,41.84282533,"Il Gustofilo",11
"162",12.39408493,41.81945446,"Ally1976",11
"163",12.47411728,41.89683083,"Ristorante Argentino",10
"164",12.5,41.9,"Andrea Fatica",10
"165",12.52584,41.93342,"ReverieBeerWineMusic",10
"166",12.52478,41.78374,"Emiliano Allegrezza",10
"167",12.5,41.9,"Lucrezia Oddone",10
"168",12.52986,41.88903,"Nero Gallery",10
"169",12.5,41.9,"⚜Mr.Disaster⚜",10
"170",12.5,41.9,"Manu/Holu",10
"171",12.5,41.9,"Stefano Santucci",10
